neighbourhood,district,district_sub
Fairbank,York,York
Downtown Toronto,Old Toronto,Old Toronto - Central
Parkdale,Old Toronto,Old Toronto - West End
Oakridge,Scarborough,Scarborough
Wexford/Maryvale,Scarborough,Scarborough
Rosedale,Old Toronto,Old Toronto - North End
Niagara,Old Toronto,Old Toronto - West End
Dufferin Grove,Old Toronto,Old Toronto - West End
Riverdale,Old Toronto,Old Toronto - East End
The Annex,Old Toronto,Old Toronto - Central
Danforth Village,Old Toronto,Old Toronto - East End
Yonge Eglinton,Old Toronto,Old Toronto - North End
Swansea,Old Toronto,Old Toronto - West End
Downsview,North York,North York
Cedarvale Humewood,York,York
The Junction,Old Toronto,Old Toronto - West End
Stonegate-Queensway,Etobicoke,Etobicoke
Studio District,Old Toronto,Old Toronto - East End
Garden District,Old Toronto,Old Toronto - Central
Wallace Emerson,Old Toronto,Old Toronto - West End
Davisville,Old Toronto,Old Toronto - North End
The Pocket,Old Toronto,Old Toronto - East End
Palmerston/Little Italy,Old Toronto,Old Toronto - West End
The Beaches,Old Toronto,Old Toronto - East End
Kensington Market,Old Toronto,Old Toronto - Central
Roncesvalles,Old Toronto,Old Toronto - West End
Flemingdon Park,North York,North York
Willowdale,North York,North York
Entertainment District,Old Toronto,Old Toronto - Central
The Danforth,Old Toronto,Old Toronto - East End
Woodbine Corridor,Old Toronto,Old Toronto - East End
Amesbury,North York,North York
Fashion District,Old Toronto,Old Toronto - Central
Dovercourt Park,Old Toronto,Old Toronto - West End
Little Portugal,Old Toronto,Old Toronto - West End
Parkwoods,North York,North York
Trinity-Bellwoods,Old Toronto,Old Toronto - West End
Harbourfront,Old Toronto,Old Toronto - Central
Greenwood-Coxwell,Old Toronto,Old Toronto - East End
Cliffside,Scarborough,Scarborough
Morningside,Scarborough,Scarborough
Humbermede,North York,North York
Henry Farm,North York,North York
Leaside,East York,East York
Ionview,Scarborough,Scarborough
Don Valley Village,North York,North York
South Hill/Rathnelly,Old Toronto,Old Toronto - North End
Forest Hill,Old Toronto,Old Toronto - North End
Pleasant View,North York,North York
Westminster/Branson,North York,North York
Wychwood Park,Old Toronto,Old Toronto - North End
Greek Town,Old Toronto,Old Toronto - East End
Don Mills,North York,North York
Glen Park,North York,North York
Lytton Park,Old Toronto,Old Toronto - North End
Deer Park,Old Toronto,Old Toronto - North End
Crescent Town,East York,East York
Mimico,Etobicoke,Etobicoke
Old East York,East York,East York
Agincourt,Scarborough,Scarborough
Cabbagetown,Old Toronto,Old Toronto - Central
Saint Andrew/Windfields,North York,North York
Clairlea,Scarborough,Scarborough
Bedford Park,Old Toronto,Old Toronto - North End
Bendale,Scarborough,Scarborough
Pellam Park,Old Toronto,Old Toronto - West End
Yorkville,Old Toronto,Old Toronto - Central
Rockcliffe Smythe,York,York
West Humber,Etobicoke,Etobicoke
Newtonbrook,North York,North York
Islington,Etobicoke,Etobicoke
Bayview,North York,North York
Cliffcrest,Scarborough,Scarborough
New Toronto,Etobicoke,Etobicoke
Birch Cliff,Scarborough,Scarborough
Runnymede,Old Toronto,Old Toronto - West End
Parkview,East York,East York
High Park North,Old Toronto,Old Toronto - West End
L'Amoreaux,Scarborough,Scarborough
Saint Lawrence,Old Toronto,Old Toronto - Central
Long Branch,Etobicoke,Etobicoke
Princess,Etobicoke,Etobicoke
Woodbine/Lumsden,East York,East York
Westmount,Etobicoke,Etobicoke
Oakwood,York,York
Keelesdale,York,York
Casa Loma,Old Toronto,Old Toronto - North End
Financial District,Old Toronto,Old Toronto - Central
Eringate,Etobicoke,Etobicoke
Tam O'Shanter,Scarborough,Scarborough
Broadview North,East York,East York
Dorset Park,Scarborough,Scarborough
Scarborough City Centre,Scarborough,Scarborough
Guildwood,Scarborough,Scarborough
Eglinton East,Scarborough,Scarborough
Highland Creek,Scarborough,Scarborough
Lawrence Park,Old Toronto,Old Toronto - North End
York University Heights,North York,North York
Woburn,Scarborough,Scarborough
Weston,York,York
Malvern West,Scarborough,Scarborough
Clanton Park,North York,North York
Hillcrest Village,North York,North York
West Rouge,Scarborough,Scarborough
Etobicoke West Mall,Etobicoke,Etobicoke
The Kingsway,Etobicoke,Etobicoke
Rexdale,Etobicoke,Etobicoke
Alderwood,Etobicoke,Etobicoke
Bayview Village,North York,North York
Armour Heights,North York,North York
Richview,Etobicoke,Etobicoke
Milliken,Scarborough,Scarborough
Mount Dennis,York,York
Humberlea,North York,North York
West Hill,Scarborough,Scarborough
Manse Valley,Scarborough,Scarborough
Morningside Heights,Scarborough,Scarborough
Thistletown,Etobicoke,Etobicoke
Lambton Baby Point,York,York
Mount Olive,Etobicoke,Etobicoke
Humber Valley,Etobicoke,Etobicoke
The Westway,Etobicoke,Etobicoke
The Elms,Etobicoke,Etobicoke
Scarborough Junction,Scarborough,Scarborough
Sunnybrook,North York,North York
Victoria Village,North York,North York
Pelmo Park,North York,North York
Scarborough Village,Scarborough,Scarborough
Thorncliffe Park,East York,East York
Corktown,Old Toronto,Old Toronto - Central
Humber Summit,North York,North York
Malvern,Scarborough,Scarborough
Jane and Finch,North York,North York
North Park,North York,North York
Markland Woods,Etobicoke,Etobicoke
Toronto Islands,Old Toronto,Old Toronto - Central
Port Union,Scarborough,Scarborough
Rouge,Scarborough,Scarborough
Nortown,Old Toronto,Old Toronto - North End
Beachborough,North York,North York
,NaN,NaN
